"Gasto Mensal - Total da Cesta","Brasília","Campo Grande","Cuiabá","Goiânia","Belo Horizonte","Rio de Janeiro","São Paulo","Vitória","Curitiba","Florianópolis","Porto Alegre","Belém","Boa Vista","Macapá","Manaus","Palmas","Porto Velho","Rio Branco","Aracaju","Fortaleza","João Pessoa","Maceió","Natal","Recife","Salvador","São Luís","Teresina","Macaé"
"02-2013","306.39","294.32","","286.34","313.48","306.83","326.59","313.40","293.25","314.46","318.16","286.70","","","314.18","","","","238.40","276.98","270.06","","283.27","278.92","270.04","","","276.53"
"03-2013","310.75","301.57","","287.78","323.97","314.99","336.26","332.24","294.78","307.37","321.95","291.86","","","328.49","","","","245.94","280.69","274.64","","279.24","280.01","281.05","","","274.27"
"04-2013","309.68","295.99","","284.22","324.53","327.52","344.30","328.94","296.69","311.41","312.28","307.18","","","339.64","","","","247.72","291.08","290.96","","286.58","298.35","268.05","","","275.07"
"05-2013","303.37","306.80","","293.96","314.78","321.41","342.05","325.87","297.92","306.54","323.17","308.77","","","322.98","","","","240.72","296.82","286.58","","281.67","290.94","257.98","","","277.75"
"06-2013","312.09","300.48","","289.62","308.48","310.00","340.46","315.63","294.50","307.44","329.16","309.01","","","316.29","","","","248.07","292.86","285.47","","284.69","296.67","260.20","","","266.00"
"07-2013","284.45","288.79","","269.34","293.48","300.71","327.44","310.73","279.66","284.03","305.91","299.07","","","310.52","","","","239.36","275.27","275.54","","271.61","279.98","259.73","","","260.66"
"08-2013","286.49","289.12","","258.45","290.54","298.42","319.66","310.03","281.31","284.33","311.50","296.11","","","305.78","","","","233.19","264.38","266.20","","267.49","270.37","257.54","","","257.54"
"09-2013","276.14","290.58","","257.99","295.96","295.59","312.07","301.55","283.18","281.08","311.34","292.35","","","304.33","","","","220.68","258.37","259.79","","263.80","270.43","256.16","","","257.51"
"10-2013","284.12","291.11","","262.47","302.76","312.90","321.14","313.78","296.76","288.36","324.87","293.20","","","300.59","","","","222.55","260.25","254.45","","265.88","270.21","256.78","","","264.88"
"11-2013","286.35","295.75","","254.44","310.84","316.88","325.56","321.41","297.71","296.07","328.72","296.05","","","307.39","","","","218.71","269.28","257.16","","271.93","268.34","259.93","","","261.70"
"12-2013","289.72","301.20","","274.67","312.25","315.52","327.24","321.39","301.32","319.33","329.18","296.34","","","307.71","","","","216.78","273.47","258.81","","273.36","274.69","265.13","","","264.98"
"01-2014","304.09","288.57","","273.84","306.01","310.52","323.47","327.13","294.06","322.70","321.05","296.39","","","323.22","","","","214.19","274.60","264.17","","269.95","280.75","265.86","","","269.89"
"02-2014","295.23","292.09","","275.32","308.16","314.72","325.35","328.43","293.49","330.75","316.55","298.86","","","312.09","","","","225.57","269.81","255.00","","270.07","278.65","262.78","","","272.50"
"03-2014","323.02","329.61","","310.04","307.18","345.11","351.46","343.70","329.55","345.63","356.17","308.45","","","308.19","","","","225.82","286.41","263.17","","271.31","280.06","272.56","","","279.12"
"04-2014","331.53","330.61","","293.27","342.49","346.18","357.85","351.27","335.73","351.66","359.37","310.91","","","309.66","","","","238.04","288.42","270.15","","282.56","288.67","274.38","","","280.02"
"05-2014","331.19","323.84","","296.77","345.14","348.04","366.54","352.76","341.20","350.31","366.00","315.08","","","313.12","","","","241.72","304.06","272.35","","289.07","302.81","277.52","","","285.70"
"06-2014","324.07","309.09","","295.12","319.84","343.44","354.63","345.98","332.30","353.76","351.36","318.46","","","332.15","","","","247.64","298.01","281.70","","292.49","307.44","278.97","","","277.78"
"07-2014","300.86","293.55","","280.93","308.35","330.22","345.42","330.71","308.66","346.99","330.69","308.37","","","326.85","","","","239.72","287.19","270.60","","277.07","296.16","270.06","","","272.82"
"08-2014","297.27","288.28","","276.18","303.50","327.64","337.80","329.13","303.28","340.62","325.64","301.52","","","301.72","","","","230.52","278.68","268.87","","270.57","290.97","266.34","","","278.12"
"09-2014","300.54","285.02","","279.95","303.54","326.78","333.12","328.33","301.08","340.76","327.65","298.68","","","302.49","","","","233.18","277.37","268.56","","267.39","285.18","263.63","","","278.17"
"10-2014","303.28","296.22","","287.46","307.50","336.10","341.04","329.19","314.25","353.18","340.63","298.64","","","306.69","","","","232.82","277.60","266.47","","265.27","280.88","257.80","","","281.53"
"11-2014","321.05","303.69","","295.79","309.56","325.91","347.96","331.34","319.26","346.61","342.62","302.28","","","311.42","","","","241.72","280.59","264.99","","258.93","274.44","255.72","","","280.99"
"12-2014","329.66","308.32","","301.21","316.06","338.03","354.19","333.15","315.84","353.10","348.56","307.63","","","320.70","","","","245.70","280.39","272.02","","268.71","286.39","267.82","","","308.26"
"01-2015","353.60","329.58","","323.73","337.57","353.51","371.22","348.30","335.82","360.64","361.11","310.78","","","317.84","","","","264.84","288.99","278.73","","277.56","290.43","299.17","","","326.12"
"02-2015","355.70","326.43","","325.64","341.72","357.27","378.86","354.85","341.64","359.76","353.81","314.89","","","321.29","","","","264.67","292.23","286.22","","289.65","294.93","311.65","","","328.74"
"03-2015","351.93","327.67","","323.48","343.22","358.68","379.35","363.62","349.69","358.14","360.01","320.02","","","337.11","","","","273.21","304.59","288.43","","289.21","298.60","302.97","","","328.15"
"04-2015","358.00","347.48","","327.69","348.36","374.85","387.05","376.46","359.39","368.32","368.97","322.81","","","331.28","","","","281.61","316.20","299.90","","300.73","307.46","314.44","","","333.67"
"05-2015","370.23","364.35","","347.03","355.92","395.23","402.05","387.92","364.80","394.29","384.57","338.92","","","343.78","","","","277.16","344.30","303.80","","312.41","331.23","348.04","","","349.62"
"06-2015","359.61","349.80","","329.65","338.76","368.71","392.77","367.94","359.69","386.10","384.13","356.24","","","352.35","","","","275.42","325.40","309.48","","302.76","318.53","320.03","","","328.42"
"07-2015","354.94","347.08","","327.47","345.02","372.24","395.83","368.01","360.28","376.69","383.22","339.27","","","340.84","","","","285.44","332.82","306.53","","293.58","309.38","317.90","","","339.22"
"08-2015","342.66","338.79","","320.69","337.42","360.23","386.04","358.00","354.94","372.79","387.83","334.45","","","340.59","","","","283.02","317.52","307.39","","286.36","309.42","305.11","","","325.90"
"09-2015","338.28","336.69","","311.20","338.19","362.90","383.21","361.54","356.51","383.10","385.70","319.20","","","335.73","","","","280.26","305.20","299.65","","282.72","298.58","297.07","","","324.69"
"10-2015","345.38","339.20","","310.73","338.61","359.66","382.13","357.30","349.93","378.45","380.80","321.72","","","337.42","","","","282.87","306.23","298.17","","285.47","297.78","297.83","","","321.06"
"11-2015","377.24","368.59","","321.85","362.19","385.80","399.21","378.91","375.26","391.85","404.62","325.69","","","352.87","","","","291.80","317.86","310.15","","302.14","323.15","323.23","","","337.45"
"12-2015","392.93","378.55","","335.87","376.91","394.21","412.12","384.99","387.79","414.12","418.82","351.38","","","357.29","","","","296.82","335.59","316.82","","309.92","327.82","331.20","","","345.84"
"01-2016","451.76","412.61","423.00","388.45","417.72","448.06","448.31","438.42","398.46","437.24","432.64","374.50","389.93","354.21","405.72","395.31","365.79","341.53","350.73","368.64","349.75","337.32","329.20","344.47","349.26","351.17","375.05","396.39"
"02-2016","438.69","387.87","402.57","371.80","400.29","430.56","443.40","401.38","392.75","430.69","416.82","406.86","403.83","385.85","437.86","364.49","359.68","349.22","362.09","387.63","360.66","347.38","331.79","349.96","337.84","355.29","377.93","388.93"
"03-2016","444.74","394.04","407.72","378.45","408.84","440.79","444.11","418.18","400.78","441.06","420.90","413.87","375.37","372.52","381.52","376.93","354.29","342.66","349.32","386.30","351.88","342.55","325.98","347.21","348.71","356.56","385.80","378.92"
"04-2016","427.68","402.89","402.29","382.16","399.24","433.96","442.42","414.26","396.34","438.56","426.93","412.51","384.82","380.78","383.72","365.75","354.21","343.86","348.24","385.14","365.83","349.78","334.49","358.55","344.29","357.11","378.21","372.31"
"05-2016","441.60","401.63","410.09","385.24","408.50","436.02","449.70","418.96","410.05","420.63","443.46","402.97","396.88","378.35","386.08","369.86","360.81","335.31","344.83","375.13","361.39","357.19","337.49","353.78","354.12","360.12","375.64","379.38"
"06-2016","448.40","428.73","430.78","421.46","425.82","439.33","469.02","428.69","416.49","463.24","465.03","419.28","409.97","387.44","384.00","392.05","390.22","358.88","376.73","386.78","366.06","368.19","352.12","365.79","365.77","368.49","395.69","397.22"
"07-2016","447.36","430.37","442.50","424.47","423.10","448.28","475.27","436.24","420.24","443.11","468.78","416.75","442.83","393.72","404.22","404.27","388.05","371.94","379.29","403.38","387.24","384.75","362.63","374.54","380.03","384.63","400.27","382.05"
"08-2016","451.29","440.86","453.10","411.12","429.64","455.45","475.11","436.53","431.14","457.11","474.34","421.33","441.60","405.18","401.50","410.84","395.84","377.16","370.70","410.11","385.83","396.72","365.46","371.60","376.45","386.20","399.73","418.16"
"09-2016","461.99","432.27","453.65","393.39","421.55","451.58","471.57","435.27","424.87","449.05","477.69","424.43","444.04","384.20","401.44","411.86","389.22","372.13","372.29","415.94","386.92","394.75","367.54","375.55","381.93","383.04","402.34","413.20"
"10-2016","436.85","436.51","452.62","389.44","418.47","456.44","469.55","449.16","432.98","475.32","478.07","425.03","441.05","379.32","409.88","404.60","397.71","379.34","378.17","415.41","385.50","403.12","366.90","372.07","375.60","386.41","395.21","410.67"
"11-2016","436.68","425.78","431.46","387.56","400.90","448.73","450.39","438.85","421.37","466.25","469.04","415.86","408.63","379.82","394.21","390.48","387.71","380.74","368.52","406.52","370.65","398.90","354.59","353.08","358.77","371.42","383.52","404.92"
"12-2016","433.74","408.06","426.22","386.84","394.66","443.75","438.89","426.32","409.86","453.80","459.02","410.71","395.69","370.27","395.08","383.09","377.69","384.44","349.68","394.19","366.16","391.56","351.96","347.96","355.15","356.07","378.95","395.22"
"01-2017","432.65","393.25","408.51","385.84","389.69","440.16","435.89","422.38","397.69","441.92","453.67","406.40","380.09","365.41","395.79","377.72","373.43","335.15","357.32","412.48","368.95","391.26","349.61","346.44","359.75","353.97","381.12","391.84"
"02-2017","416.59","385.38","394.45","380.18","377.66","424.55","426.22","414.03","387.27","434.13","435.51","395.57","367.34","358.78","375.44","370.00","365.89","330.58","344.72","401.91","364.75","371.31","351.68","344.06","349.40","354.45","376.48","387.68"
"03-2017","415.39","391.95","389.94","388.31","385.57","431.31","435.34","415.75","389.52","433.70","437.22","394.21","371.49","362.13","371.93","373.56","372.96","323.34","351.81","408.83","374.18","369.33","364.12","356.21","349.66","364.28","391.15","388.74"
"04-2017","427.37","402.19","411.41","388.83","397.36","448.51","446.28","431.54","404.55","453.54","464.19","398.12","388.99","368.29","373.98","392.85","383.96","333.18","363.87","423.08","382.52","374.63","368.86","368.74","366.63","365.57","397.30","396.17"
"05-2017","422.53","395.11","402.52","392.72","390.60","442.56","458.93","422.03","403.51","446.52","460.65","402.76","387.98","369.38","374.92","376.15","385.76","333.15","371.00","404.50","383.81","377.51","364.97","379.39","351.31","364.80","397.38","392.88"
"06-2017","404.88","386.68","395.23","390.10","374.87","420.35","441.61","404.54","394.49","432.40","443.66","393.01","383.99","370.95","368.09","362.85","381.14","333.35","365.55","408.49","369.78","373.67","354.32","373.84","350.22","365.52","389.39","388.69"
"07-2017","405.40","382.17","395.04","386.67","383.69","425.62","445.83","409.51","399.00","439.87","453.56","388.67","372.23","365.49","361.44","369.41","385.17","332.06","364.27","400.67","361.41","371.38","358.15","361.65","357.28","367.59","382.63","380.57"
"08-2017","396.54","355.09","375.96","386.81","365.05","410.43","431.66","397.89","385.11","426.30","445.76","375.82","377.45","359.61","357.97","","376.84","","353.85","389.35","351.08","374.75","336.12","340.54","332.10","352.36","","373.19"
"09-2017","383.03","359.24","366.94","372.99","361.82","410.27","421.02","391.76","376.46","419.17","436.68","369.89","","","355.47","","","","344.16","370.46","334.86","355.20","323.90","328.63","318.52","338.38","","369.93"
"10-2017","388.78","368.83","379.74","362.58","365.89","421.05","428.13","393.71","388.06","416.41","446.87","367.03","","","349.19","","","","340.37","367.61","330.38","346.26","325.09","325.96","318.31","337.37","","369.49"
"11-2017","380.52","364.33","375.60","361.96","359.71","407.37","423.23","387.93","381.26","415.00","444.16","358.74","","","345.66","","","","341.09","363.92","324.90","347.77","328.21","327.85","315.98","333.14","","370.11"
"12-2017","379.77","366.26","376.71","360.70","361.61","418.71","424.36","385.19","374.94","418.61","426.74","356.67","","","347.47","","","","340.02","367.45","329.52","349.40","331.18","332.15","316.65","334.13","","362.38"
"01-2018","416.50","384.26","403.35","362.23","380.02","443.81","439.20","417.73","399.72","430.52","446.69","366.99","","","356.48","","","","349.97","387.61","368.76","","360.48","356.47","333.98","355.22","",""
"02-2018","408.68","372.79","395.03","364.01","381.90","438.36","437.33","410.84","392.91","425.05","434.50","379.36","","","357.05","","","","341.59","395.47","354.15","","348.96","356.06","336.59","356.74","","376.20"
"03-2018","404.60","382.47","398.54","360.43","378.13","441.19","437.84","410.59","401.65","426.79","434.70","367.06","","","358.28","","","","339.77","389.00","349.83","","343.26","342.46","322.88","353.16","",""
"04-2018","402.31","378.40","391.56","365.81","376.58","440.06","434.80","409.80","394.07","426.73","430.29","366.19","","","360.65","","","","342.39","378.98","335.77","","337.67","333.11","325.42","345.33","",""
"05-2018","404.65","398.14","395.49","366.65","375.11","446.03","441.16","409.95","397.17","441.62","437.73","367.56","","","357.71","","","","349.29","390.79","346.42","","341.18","336.36","327.56","349.98","",""
"06-2018","413.02","380.18","425.32","365.81","373.92","445.58","451.63","413.73","412.44","425.30","452.81","381.65","","","367.89","","","","349.55","392.35","349.80","","351.11","355.93","333.00","358.71","","368.77"
"07-2018","390.34","370.59","388.43","366.38","363.28","421.89","437.42","406.43","391.32","415.27","435.02","361.11","","","355.17","","","","344.89","379.26","347.15","","341.09","347.43","321.62","336.67","","360.86"
"08-2018","385.62","364.66","385.61","362.47","357.93","417.05","432.81","395.70","389.15","431.30","419.81","360.30","","","360.17","","","","344.92","372.89","335.49","","335.61","340.14","311.92","329.42","",""
"09-2018","390.14","383.77","","354.11","358.83","418.48","432.83","395.64","387.39","435.47","423.01","359.51","","","","","","","342.34","367.14","328.99","","330.30","332.75","315.86","324.04","",""
"10-2018","408.57","396.80","","357.72","372.77","443.69","446.02","419.69","406.42","450.35","449.89","361.70","","","","","","","342.50","393.40","334.10","","329.90","330.20","331.02","333.36","",""
"11-2018","430.82","420.80","","368.06","401.90","460.24","471.37","408.55","416.41","454.87","463.09","372.24","","","","","","","349.76","411.66","339.39","","332.21","333.50","330.17","354.83","",""
"12-2018","435.83","422.88","","388.86","408.71","466.75","471.44","403.79","419.05","457.82","464.72","382.31","","","","","","","358.75","397.34","345.21","","341.40","340.57","343.82","353.40","",""
"01-2019","427.10","414.83","","398.23","405.40","460.46","467.65","424.21","401.63","437.55","441.65","384.78","","","","","","","356.56","403.99","360.92","","351.83","348.85","353.43","353.85","",""
"02-2019","427.54","438.64","","416.40","425.00","464.47","482.40","449.54","414.03","441.89","449.95","383.76","","","","","","","379.61","416.86","378.26","","375.58","376.34","362.93","368.82","",""
"03-2019","474.94","447.50","","433.43","443.26","496.33","509.11","475.84","443.86","474.07","479.53","408.67","","","","","","","385.62","445.12","400.38","","399.01","401.35","382.35","395.58","",""
"04-2019","487.02","492.55","","445.28","456.91","515.58","522.05","498.54","461.91","482.30","499.38","423.17","","","","","","","404.68","459.20","412.27","","410.10","417.03","396.75","423.66","",""
"05-2019","487.30","423.97","","425.35","424.85","492.93","507.07","484.84","451.38","487.93","496.13","418.05","","","","","","","408.16","444.44","403.57","","406.07","417.85","392.97","","",""
"06-2019","454.90","428.33","","421.65","429.30","498.67","501.68","485.34","446.54","494.96","498.41","407.67","","","","","","","383.09","448.73","398.72","","397.24","396.21","384.76","","",""
"07-2019","449.27","420.07","","420.55","415.03","479.28","493.16","466.93","443.68","483.20","493.22","403.35","","","","","","","359.95","432.96","385.58","","381.27","381.10","372.25","","",""
"08-2019","433.45","408.11","","399.40","401.14","462.24","481.44","441.50","441.28","464.24","469.17","393.94","","","","","","","337.96","402.84","367.86","","354.44","361.64","350.75","","",""
"09-2019","420.01","396.98","","391.31","390.93","458.21","473.85","429.06","424.81","454.94","458.29","382.11","","","","","","","328.70","384.17","359.62","","352.57","367.16","345.04","","",""
"10-2019","441.91","409.30","","395.70","391.85","462.57","473.59","428.25","421.86","458.28","463.24","377.37","","","","","","","325.01","387.18","351.19","","341.90","359.55","347.65","","",""
"11-2019","","422.06","","400.16","393.58","455.37","465.81","462.06","413.63","478.68","453.82","381.28","","","","","","","325.40","395.82","347.14","","347.89","354.64","341.45","","",""
"12-2019","473.90","450.08","","454.75","444.91","516.91","506.50","499.23","458.88","511.70","506.30","414.13","","","","","","","351.97","433.64","373.56","","383.76","393.80","360.51","","",""
"01-2020","483.17","458.00","","455.08","456.35","507.13","517.51","492.20","452.32","489.13","502.98","415.56","","","","","","","368.69","433.39","388.02","","389.26","395.93","376.49","","",""
"02-2020","481.78","445.40","","448.62","459.10","505.55","519.76","480.03","447.91","493.15","492.83","432.95","","","","","","","371.22","462.99","403.98","","405.88","420.27","395.49","","",""
"03-2020","484.15","474.53","","456.18","461.28","533.65","518.50","504.78","465.47","517.13","497.88","418.80","","","","","","","390.20","475.11","414.05","","426.00","433.28","408.06","","",""
"04-2020","471.17","495.69","","493.21","484.55","544.34","556.25","537.89","511.23","523.80","527.01","434.19","","","","","","","401.37","482.46","437.93","","428.28","461.26","425.12","","",""
"05-2020","441.09","455.35","","505.99","484.02","558.81","556.36","536.73","531.27","524.07","518.63","453.36","","","","","","","400.15","455.18","440.25","","429.57","451.45","410.33","","",""
"06-2020","450.45","475.01","","480.78","475.19","512.84","547.03","500.01","506.04","516.97","512.40","453.87","","","","","","","420.03","464.31","430.44","","442.46","435.30","419.18","","",""
"07-2020","449.96","479.79","","472.86","465.06","505.72","524.74","484.80","526.14","522.03","511.22","440.99","","","","","","","392.75","454.74","417.75","","430.66","436.10","415.22","","",""
"08-2020","443.28","484.46","","483.15","478.07","529.76","539.95","509.45","505.54","530.42","528.61","441.51","","","","","","","398.47","462.13","414.50","","419.47","439.19","418.72","","",""
"09-2020","445.76","492.80","","510.52","491.62","563.75","563.35","539.36","524.25","582.40","552.86","459.21","","","","","","","427.11","485.75","432.04","","422.31","464.31","459.33","","",""
"10-2020","490.48","520.12","","537.61","516.82","592.25","595.87","552.85","521.12","584.76","581.39","468.22","","","","","","","442.26","510.54","449.97","","436.76","469.05","454.50","","",""
"11-2020","572.64","589.08","","557.46","552.37","629.63","629.18","606.59","547.29","616.98","617.03","486.50","","","","","","","451.32","539.33","454.85","","455.43","462.98","488.10","","",""
"12-2020","591.82","576.48","","563.80","568.53","621.09","631.46","600.28","540.36","615.57","615.66","500.89","","","","","","","453.16","534.96","475.19","","458.79","469.39","479.08","","","567.89"
"01-2021","614.31","578.62","","574.76","592.26","644.00","654.15","624.62","559.73","651.37","626.25","507.31","","","","","","","450.84","532.97","471.87","","454.49","474.22","488.94","","",""
"02-2021","591.44","551.58","","560.67","573.53","629.82","639.47","609.27","572.77","639.81","632.67","512.95","","","","","","","445.90","523.46","484.54","","464.43","469.71","479.19","","",""
"03-2021","580.76","552.99","","552.05","555.67","612.56","626.00","596.91","577.17","632.75","623.37","515.77","","","","","","","468.79","517.05","478.52","","477.56","461.33","461.28","","",""
"04-2021","587.33","586.26","","556.27","565.78","622.04","632.61","610.98","583.61","634.53","626.11","505.87","","","","","","","469.66","525.26","490.04","","478.23","471.52","457.56","","",""
"05-2021","588.24","575.01","","564.04","","622.76","636.40","616.96","608.89","636.37","636.96","515.84","","","","","","","468.43","532.21","491.63","","501.70","480.80","470.14","","",""
"06-2021","584.99","566.78","","551.49","532.01","619.24","626.76","611.29","618.57","645.38","642.31","518.53","","","","","","","470.97","541.61","495.76","","500.20","483.92","467.30","","",""
"07-2021","582.35","588.84","","562.13","549.49","621.34","640.51","612.45","619.83","654.43","656.92","522.66","","","","","","","488.42","562.82","492.30","","506.51","487.60","482.58","","",""
"08-2021","594.59","609.33","","565.40","562.95","634.18","650.50","618.96","600.47","659.00","664.67","530.13","","","","","","","456.40","552.24","490.93","","508.04","491.46","485.44","","",""
"09-2021","617.65","630.83","","574.08","582.61","643.06","673.45","633.03","610.85","662.85","672.39","532.56","","","","","","","454.03","552.09","476.63","","493.29","489.40","478.86","","",""
"10-2021","644.09","653.40","","591.78","598.79","673.85","693.79","670.99","639.89","700.69","691.08","538.44","","","","","","","464.17","563.96","491.12","","504.66","485.26","487.59","","",""
"11-2021","631.95","645.17","","599.64","594.97","665.60","692.27","668.17","638.96","710.53","685.32","550.64","","","","","","","473.26","580.36","508.91","","521.08","524.73","505.94","","",""
"12-2021","621.56","641.37","","597.24","605.16","666.26","690.51","662.01","628.46","689.56","682.90","556.87","","","","","","","478.05","579.06","510.82","","529.54","532.37","518.21","","",""
"01-2022","661.09","660.11","","624.91","632.83","692.83","713.86","677.54","636.57","695.59","673.00","563.97","","","","","","","507.82","607.35","538.65","","551.06","543.10","540.01","","",""
"02-2022","670.98","678.43","","641.09","642.01","697.37","715.65","682.54","652.90","707.56","695.91","574.86","","","","","","","516.82","609.60","549.33","","557.20","549.20","552.30","","",""
"03-2022","704.65","715.81","","663.48","669.47","750.71","761.19","704.93","701.59","745.47","734.28","585.91","","","","","","","524.99","635.02","567.84","","575.33","561.57","560.39","","",""
"04-2022","741.55","761.73","","682.87","693.41","768.42","803.99","729.31","739.28","788","780.86","610.31","","","","","","","551.47","647.63","573.7","","595.37","582.74","575.84","","",""